comuna,region,artes_votos,artes_pct,enriquez_ominami_votos,enriquez_ominami_pct,jara_votos,jara_pct,kaiser_votos,kaiser_pct,kast_votos,kast_pct,matthei_votos,matthei_pct,mayne_nicholls_votos,mayne_nicholls_pct,parisi_votos,parisi_pct,blanco_votos,blanco_pct,emitidos_votos,emitidos_pct,nulo_votos,nulo_pct
Huechuraba,Metropolitana,495,0.72,921,1.34,20227,29.5,8410,12.27,15297,22.31,12445,18.15,1091,1.59,9673,14.11,648,0.92,70782,100.0,1575,2.23
Independencia,Metropolitana,545,0.83,732,1.12,19817,30.34,8641,13.23,13833,21.18,13080,20.03,932,1.43,7728,11.83,707,1.04,67908,100.0,1893,2.79
Isla de Maipo,Metropolitana,136,0.48,365,1.29,7425,26.32,3926,13.92,7209,25.56,3139,11.13,327,1.16,5682,20.14,273,0.94,29166,100.0,684,2.35
Lampa,Metropolitana,368,0.53,901,1.3,16708,24.09,9794,14.12,17217,24.82,8137,11.73,852,1.23,15384,22.18,660,0.92,71733,100.0,1712,2.39
Lo Barnechea,Metropolitana,246,0.32,333,0.43,7577,9.84,8823,11.46,31581,41.03,23778,30.89,630,0.82,3996,5.19,419,0.54,78281,100.0,898,1.15
Lo Espejo,Metropolitana,565,0.84,1153,1.7,25101,37.1,7524,11.12,12079,17.86,5877,8.69,750,1.11,14601,21.58,886,1.25,70863,100.0,2327,3.28
Lo Prado,Metropolitana,548,0.81,1081,1.6,24166,35.68,8739,12.9,12849,18.97,7954,11.74,874,1.29,11528,17.02,633,0.9,70486,100.0,2114,3.0
Macul,Metropolitana,733,0.86,1074,1.26,30309,35.45,11197,13.09,15956,18.66,15943,18.64,1710,2.0,8587,10.04,753,0.85,88347,100.0,2085,2.36
Maipu,Metropolitana,3144,0.9,4492,1.28,127656,36.4,47290,13.48,68567,19.55,45425,12.95,5888,1.68,48261,13.76,2811,0.77,363048,100.0,9514,2.62
Maria Pinto,Metropolitana,108,0.93,129,1.11,2969,25.61,1598,13.78,3116,26.88,1365,11.77,106,0.91,2202,18.99,178,1.47,12073,100.0,302,2.5
Melipilla,Metropolitana,587,0.63,1125,1.22,22920,24.76,13403,14.48,24439,26.4,10692,11.55,1078,1.16,18326,19.8,1171,1.21,96619,100.0,2878,2.98
Padre Hurtado,Metropolitana,374,0.72,755,1.46,15294,29.62,6876,13.32,11317,21.92,5756,11.15,710,1.37,10558,20.45,463,0.87,53468,100.0,1365,2.55
Paine,Metropolitana,280,0.51,589,1.07,13499,24.62,6480,11.82,18884,34.44,4738,8.64,608,1.11,9749,17.78,677,1.19,56948,100.0,1444,2.54
Pedro Aguirre Cerda,Metropolitana,719,0.99,1108,1.53,30357,41.9,8512,11.75,12143,16.76,7651,10.56,1054,1.45,10901,15.05,793,1.05,75390,100.0,2152,2.85
Peñaflor,Metropolitana,411,0.62,1041,1.58,20456,31.07,9101,13.82,12637,19.2,7865,11.95,970,1.47,13350,20.28,595,0.87,68197,100.0,1771,2.6
Peñalolen,Metropolitana,1204,0.75,2365,1.47,53346,33.05,18758,11.62,32823,20.33,26240,16.26,2731,1.69,23955,14.84,1715,1.02,167669,100.0,4532,2.7
Pirque,Metropolitana,120,0.54,266,1.19,6455,28.96,3359,15.07,5316,23.85,3352,15.04,347,1.56,3074,13.79,257,1.11,23088,100.0,542,2.35
Providencia,Metropolitana,882,0.73,746,0.62,34048,28.11,14600,12.06,22535,18.61,43965,36.3,2025,1.67,2305,1.9,715,0.58,123633,100.0,1812,1.47
Pudahuel,Metropolitana,1345,0.89,2378,1.57,51278,33.81,18875,12.45,30513,20.12,17380,11.46,2182,1.44,27698,18.26,1433,0.91,157381,100.0,4299,2.73
Puente Alto,Metropolitana,3139,0.86,5316,1.45,130305,35.57,45374,12.38,69145,18.87,42880,11.7,5855,1.6,64358,17.57,3292,0.86,381422,100.0,11758,3.08
Quilicura,Metropolitana,1043,0.78,1631,1.23,46022,34.61,15836,11.91,25297,19.03,15931,11.98,1834,1.38,25361,19.07,1227,0.89,137822,100.0,3640,2.64
Quinta Normal,Metropolitana,759,0.94,1122,1.39,28384,35.11,11159,13.8,15869,19.63,11962,14.8,1071,1.32,10517,13.01,736,0.88,83866,100.0,2287,2.73
Recoleta,Metropolitana,962,0.9,1547,1.45,37122,34.8,13810,12.95,21551,20.2,14475,13.57,1560,1.46,15655,14.67,1265,1.14,110917,100.0,2970,2.68
Renca,Metropolitana,806,0.83,1629,1.68,33109,34.13,11838,12.2,18091,18.65,10014,10.32,1283,1.32,20245,20.87,1101,1.09,101092,100.0,2976,2.94
San Bernardo,Metropolitana,1416,0.72,3033,1.55,59001,30.16,24683,12.62,44206,22.6,20111,10.28,2608,1.33,40546,20.73,2195,1.08,203931,100.0,6132,3.01
San Joaquin,Metropolitana,548,0.82,964,1.44,26233,39.29,8218,12.31,11542,17.29,8787,13.16,1024,1.53,9454,14.16,686,0.99,69365,100.0,1909,2.75
San Jose de Maipo,Metropolitana,101,0.74,204,1.5,4914,36.2,1829,13.48,2572,18.95,1730,12.75,220,1.62,2003,14.76,141,1.0,14157,100.0,443,3.13
San Miguel,Metropolitana,807,0.89,922,1.01,30840,33.85,11809,12.96,18016,19.77,20141,22.11,1571,1.72,6999,7.68,609,0.65,93645,100.0,1931,2.06
San Pedro,Metropolitana,42,0.51,70,0.85,1680,20.28,1278,15.43,2812,33.95,806,9.73,68,0.82,1527,18.44,133,1.53,8670,100.0,254,2.93
San Ramon,Metropolitana,469,0.76,1094,1.77,21002,33.99,7603,12.31,12367,20.02,6152,9.96,747,1.21,12352,19.99,725,1.12,64570,100.0,2059,3.19
Santiago,Metropolitana,2640,1.08,2192,0.89,80114,32.71,31362,12.8,50769,20.73,56605,23.11,3595,1.47,17645,7.2,2341,0.93,252706,100.0,5443,2.15
Talagante,Metropolitana,367,0.67,772,1.41,15342,28.05,8036,14.69,12275,22.44,6414,11.73,779,1.42,10706,19.58,651,1.15,56840,100.0,1498,2.64
Tiltil,Metropolitana,68,0.49,151,1.08,3469,24.76,2264,16.16,3353,23.93,1264,9.02,150,1.07,3291,23.49,136,0.93,14548,100.0,402,2.76
Vitacura,Metropolitana,166,0.24,210,0.3,5000,7.2,8953,12.9,24395,35.14,29467,42.45,658,0.95,570,0.82,258,0.37,70359,100.0,682,0.97
la Cisterna,Metropolitana,565,0.85,772,1.16,22011,33.15,9822,14.79,14082,21.21,10504,15.82,1086,1.64,7565,11.39,505,0.74,68644,100.0,1732,2.52
la Florida,Metropolitana,2327,0.87,3351,1.26,93752,35.16,34386,12.9,54143,20.31,41762,15.66,4836,1.81,32068,12.03,2316,0.84,276415,100.0,7474,2.7
la Granja,Metropolitana,594,0.73,1343,1.66,28612,35.35,10216,12.62,15365,18.98,8424,10.41,1023,1.26,15356,18.97,912,1.08,84814,100.0,2969,3.5
la Pintana,Metropolitana,762,0.68,2059,1.83,34757,30.97,12386,11.04,22004,19.61,9071,8.08,1150,1.02,30043,26.77,1425,1.21,117419,100.0,3762,3.2
la Reina,Metropolitana,506,0.69,569,0.77,20354,27.56,9368,12.69,16503,22.35,21697,29.38,1378,1.87,3471,4.7,521,0.69,75601,100.0,1234,1.63
las Condes,Metropolitana,945,0.43,891,0.41,28626,13.07,31229,14.26,69261,31.63,79998,36.54,3104,1.42,4885,2.23,1004,0.45,222675,100.0,2732,1.23
ÑUñoa,Metropolitana,1595,0.89,1372,0.77,65386,36.55,20839,11.65,30769,17.2,48927,27.35,3698,2.07,6317,3.53,1136,0.62,183207,100.0,3168,1.73
Alto Hospicio,Tarapacá,327,0.56,627,1.07,9970,17.08,7370,12.63,11744,20.12,2764,4.74,504,0.86,25061,42.94,599,0.99,60526,100.0,1560,2.58
Camiña,Tarapacá,0,0.0,6,0.35,122,7.21,179,10.58,608,35.93,48,2.84,0,0.0,729,43.09,9,0.52,1730,100.0,29,1.68
Colchane,Tarapacá,2,0.16,8,0.66,25,2.06,81,6.68,387,31.9,12,0.99,3,0.25,695,57.3,5,0.41,1223,100.0,5,0.41
Huara,Tarapacá,10,0.38,28,1.06,447,16.89,353,13.34,685,25.89,131,4.95,14,0.53,978,36.96,25,0.92,2726,100.0,55,2.02
Iquique,Tarapacá,715,0.56,1438,1.13,31793,25.03,19814,15.6,30117,23.71,10597,8.34,1735,1.37,30814,24.26,1379,1.05,131590,100.0,3188,2.42
Pica,Tarapacá,21,0.41,59,1.16,1131,22.26,834,16.41,1004,19.76,298,5.86,37,0.73,1698,33.41,44,0.84,5233,100.0,107,2.04
Pozo Almonte,Tarapacá,40,0.41,114,1.17,1744,17.88,1354,13.88,1962,20.11,442,4.53,61,0.63,4037,41.39,118,1.17,10079,100.0,207,2.05
Algarrobo,Valparaíso,75,0.5,145,0.96,3981,26.41,2895,19.2,3434,22.78,2507,16.63,220,1.46,1818,12.06,110,0.7,15656,100.0,471,3.01
Cabildo,Valparaíso,82,0.53,192,1.24,4757,30.61,1782,11.47,3106,19.98,1136,7.31,120,0.77,4367,28.1,220,1.36,16236,100.0,474,2.92
Calera,Valparaíso,186,0.49,601,1.6,10982,29.21,4726,12.57,6953,18.49,2889,7.68,385,1.02,10880,28.93,496,1.26,39343,100.0,1245,3.16
Calle Larga,Valparaíso,55,0.5,154,1.4,2719,24.68,1431,12.99,2392,21.72,986,8.95,108,0.98,3170,28.78,131,1.15,11413,100.0,267,2.34
Cartagena,Valparaíso,115,0.62,313,1.69,5540,29.9,2810,15.17,3728,20.12,2109,11.38,174,0.94,3737,20.17,220,1.14,19367,100.0,621,3.21
Casablanca,Valparaíso,111,0.51,274,1.26,5486,25.3,3649,16.82,5429,25.03,2420,11.16,275,1.27,4044,18.65,253,1.12,22686,100.0,745,3.28
Catemu,Valparaíso,39,0.35,125,1.13,2524,22.75,1421,12.81,2422,21.83,745,6.71,77,0.69,3743,33.73,160,1.38,11584,100.0,328,2.83
Concon,Valparaíso,181,0.45,329,0.81,9230,22.73,6726,16.57,10620,26.16,7920,19.51,584,1.44,5011,12.34,420,1.0,41884,100.0,863,2.06
El Quisco,Valparaíso,122,0.8,157,1.03,5140,33.79,2754,18.1,2973,19.54,1790,11.77,213,1.4,2064,13.57,133,0.84,15817,100.0,471,2.98
El Tabo,Valparaíso,93,0.65,203,1.41,5099,35.51,2517,17.53,2584,18.0,1678,11.69,142,0.99,2042,14.22,115,0.77,14912,100.0,439,2.94
Hijuelas,Valparaíso,55,0.38,199,1.37,2852,19.61,2142,14.73,3446,23.7,1072,7.37,127,0.87,4648,31.96,240,1.57,15264,100.0,483,3.16
Isla de Pascua,Valparaíso,35,0.77,120,2.65,1496,33.05,761,16.81,680,15.02,755,16.68,100,2.21,579,12.79,149,3.01,4949,100.0,274,5.54
Juan Fernandez,Valparaíso,6,1.11,6,1.11,235,43.44,91,16.82,90,16.64,47,8.69,3,0.55,63,11.65,15,2.62,572,100.0,16,2.8
Limache,Valparaíso,206,0.55,451,1.21,9790,26.24,6377,17.09,8220,22.04,4132,11.08,449,1.2,7679,20.58,465,1.19,39097,100.0,1328,3.4
Llay-llay,Valparaíso,104,0.55,248,1.31,5794,30.66,2347,12.42,3599,19.05,1437,7.6,194,1.03,5173,27.38,247,1.25,19687,100.0,544,2.76
Nogales,Valparaíso,77,0.44,252,1.45,4911,28.25,2185,12.57,2988,17.19,1245,7.16,120,0.69,5604,32.24,241,1.33,18150,100.0,527,2.9
Olmue,Valparaíso,88,0.58,176,1.15,3627,23.76,2843,18.62,3398,22.26,1744,11.42,150,0.98,3241,21.23,243,1.51,16053,100.0,543,3.38
Panquehue,Valparaíso,23,0.37,65,1.04,1416,22.56,774,12.33,1441,22.96,473,7.54,47,0.75,2038,32.47,70,1.08,6502,100.0,155,2.38
Papudo,Valparaíso,24,0.37,64,0.98,1771,26.98,948,14.44,1408,21.45,1073,16.35,74,1.13,1202,18.31,60,0.89,6739,100.0,115,1.71
Petorca,Valparaíso,30,0.38,114,1.45,2692,34.18,828,10.51,1435,18.22,611,7.76,74,0.94,2093,26.57,142,1.72,8253,100.0,234,2.84
Puchuncavi,Valparaíso,111,0.63,253,1.43,5041,28.52,2462,13.93,3380,19.12,2428,13.74,234,1.32,3766,21.31,233,1.26,18535,100.0,627,3.38
Putaendo,Valparaíso,63,0.5,169,1.34,3668,29.01,1611,12.74,2721,21.52,1028,8.13,151,1.19,3235,25.58,200,1.5,13295,100.0,449,3.38
Quillota,Valparaíso,407,0.61,954,1.42,17030,25.4,10403,15.52,15243,22.74,6976,10.4,913,1.36,15119,22.55,796,1.14,69955,100.0,2114,3.02
Quilpue,Valparaíso,911,0.78,1566,1.33,35387,30.12,20417,17.38,22779,19.39,15375,13.09,2024,1.72,19030,16.2,1262,1.03,122923,100.0,4172,3.39
Quintero,Valparaíso,158,0.67,383,1.63,6584,28.01,3592,15.28,4414,18.78,2507,10.67,294,1.25,5572,23.71,317,1.28,24710,100.0,889,3.6
Rinconada,Valparaíso,35,0.37,110,1.17,2270,24.08,1358,14.41,2171,23.03,942,9.99,86,0.91,2454,26.03,112,1.15,9711,100.0,173,1.78
San Antonio,Valparaíso,531,0.77,1085,1.58,23628,34.45,8404,12.25,12361,18.02,6151,8.97,818,1.19,15602,22.75,794,1.11,71777,100.0,2403,3.35
San Esteban,Valparaíso,70,0.48,144,0.98,3425,23.29,1938,13.18,3222,21.91,1491,10.14,174,1.18,4239,28.83,169,1.11,15220,100.0,348,2.29
San Felipe,Valparaíso,358,0.68,630,1.2,14451,27.57,7224,13.78,11041,21.06,5156,9.84,606,1.16,12951,24.71,748,1.37,54728,100.0,1563,2.86
Santa Maria,Valparaíso,54,0.47,168,1.46,2352,20.51,1478,12.89,2665,23.24,1128,9.84,96,0.84,3528,30.76,166,1.39,11964,100.0,329,2.75
Santo Domingo,Valparaíso,50,0.41,121,0.98,2700,21.97,2030,16.52,3561,28.97,2206,17.95,158,1.29,1464,11.91,127,1.0,12658,100.0,241,1.9
Valparaiso,Valparaíso,2138,1.02,3117,1.48,76553,36.34,32078,15.23,36043,17.11,22481,10.67,3273,1.55,34951,16.59,2825,1.27,221701,100.0,8242,3.72
Villa Alemana,Valparaíso,784,0.84,1148,1.23,27457,29.3,16650,17.77,18351,19.58,11360,12.12,1573,1.68,16385,17.49,943,0.96,98056,100.0,3405,3.47
Viña del Mar,Valparaíso,1831,0.75,2882,1.18,72220,29.52,39671,16.22,50663,20.71,36742,15.02,4023,1.64,36614,14.97,2687,1.06,254486,100.0,7153,2.81
Zapallar,Valparaíso,40,0.44,92,1.0,1965,21.38,1327,14.44,2381,25.91,2168,23.59,131,1.43,1087,11.83,88,0.93,9465,100.0,186,1.97
la Cruz,Valparaíso,102,0.62,206,1.25,4027,24.43,2573,15.61,4045,24.54,1738,10.55,236,1.43,3554,21.56,132,0.77,17083,100.0,470,2.75
la Ligua,Valparaíso,157,0.55,359,1.26,8616,30.24,3743,13.14,6213,21.81,2575,9.04,281,0.99,6549,22.98,443,1.49,29667,100.0,731,2.46
los Andes,Valparaíso,248,0.52,596,1.25,12905,27.04,6671,13.98,9649,20.22,5611,11.76,670,1.4,11371,23.83,404,0.82,49486,100.0,1361,2.75
Bulnes,Ñuble,87,0.48,215,1.18,3260,17.83,2751,15.04,6000,32.81,1821,9.96,117,0.64,4035,22.07,315,1.65,19086,100.0,485,2.54
Chillan,Ñuble,811,0.58,1368,0.98,31476,22.65,21134,15.21,38494,27.7,15776,11.35,1725,1.24,28198,20.29,1372,0.95,143841,100.0,3487,2.42
Chillan Viejo,Ñuble,122,0.55,204,0.91,4353,19.45,3446,15.39,6424,28.7,2006,8.96,209,0.93,5621,25.11,205,0.88,23169,100.0,579,2.5
Cobquecura,Ñuble,28,0.56,49,0.97,978,19.43,527,10.47,1810,35.96,543,10.79,32,0.64,1066,21.18,67,1.28,5227,100.0,127,2.43
Coelemu,Ñuble,57,0.43,131,0.98,2382,17.85,1586,11.89,4766,35.72,913,6.84,95,0.71,3413,25.58,144,1.05,13729,100.0,242,1.76
Coihueco,Ñuble,87,0.4,208,0.95,2858,13.02,3282,14.96,8372,38.15,1622,7.39,137,0.62,5379,24.51,247,1.09,22665,100.0,473,2.09
El Carmen,Ñuble,44,0.4,110,1.0,1666,15.21,1799,16.42,4124,37.65,1007,9.19,69,0.63,2134,19.48,123,1.09,11305,100.0,229,2.03
Ninhue,Ñuble,34,0.71,48,1.0,895,18.64,509,10.6,1845,38.43,466,9.71,45,0.94,959,19.98,65,1.29,5042,100.0,176,3.49
Pemuco,Ñuble,42,0.57,76,1.04,1256,17.12,1068,14.55,2384,32.49,619,8.44,46,0.63,1847,25.17,99,1.3,7640,100.0,203,2.66
Pinto,Ñuble,43,0.39,117,1.06,1432,13.01,2291,20.81,4009,36.42,981,8.91,73,0.66,2062,18.73,107,0.94,11403,100.0,288,2.53
Portezuelo,Ñuble,22,0.45,43,0.87,925,18.76,673,13.65,1863,37.78,480,9.73,28,0.57,897,18.19,45,0.88,5093,100.0,117,2.3
Quillon,Ñuble,71,0.46,171,1.12,2550,16.68,2411,15.77,5128,33.53,1461,9.55,112,0.73,3388,22.16,209,1.32,15881,100.0,380,2.39
Quirihue,Ñuble,49,0.53,102,1.11,1870,20.34,1058,11.51,3055,33.22,803,8.73,61,0.66,2197,23.89,137,1.42,9650,100.0,318,3.3
Ranquil,Ñuble,20,0.38,51,0.97,982,18.66,775,14.73,1732,32.91,545,10.36,23,0.44,1135,21.57,64,1.17,5452,100.0,125,2.29
San Carlos,Ñuble,245,0.58,427,1.01,7158,16.94,6695,15.84,13839,32.74,3820,9.04,281,0.66,9801,23.19,462,1.05,43942,100.0,1214,2.76
San Fabian,Ñuble,23,0.54,51,1.19,845,19.73,694,16.2,1277,29.82,399,9.32,42,0.98,952,22.23,44,0.99,4455,100.0,128,2.87
San Ignacio,Ñuble,62,0.45,160,1.17,1901,13.88,2311,16.87,5080,37.09,1207,8.81,76,0.55,2899,21.17,166,1.17,14214,100.0,352,2.48
San Nicolas,Ñuble,53,0.44,111,0.93,2190,18.28,1702,14.21,4005,33.43,1062,8.87,81,0.68,2775,23.17,150,1.21,12441,100.0,312,2.51
Trehuaco,Ñuble,26,0.51,56,1.09,842,16.38,555,10.8,1989,38.7,374,7.28,27,0.53,1270,24.71,65,1.23,5287,100.0,83,1.57
Yungay,Ñuble,70,0.47,158,1.05,3259,21.7,2135,14.22,3908,26.02,1234,8.22,97,0.65,4158,27.68,226,1.44,15649,100.0,404,2.58
ÑIquen,Ñuble,52,0.52,106,1.05,1365,13.55,1720,17.07,3677,36.5,836,8.3,43,0.43,2275,22.58,118,1.12,10508,100.0,316,3.01
