comuna,region,jara_votos,jara_pct,kast_votos,kast_pct,blanco_votos,blanco_pct,emitidos_votos,emitidos_pct,nulo_votos,nulo_pct
la Cisterna,Metropolitana,30510,47.56,33645,52.44,751,1.1,68106,100.0,3200,4.7
la Florida,Metropolitana,131631,50.91,126918,49.09,3389,1.23,275632,100.0,13694,4.97
la Granja,Metropolitana,42171,53.5,36659,46.5,816,0.96,84612,100.0,4966,5.87
la Pintana,Metropolitana,56268,52.1,51727,47.9,1445,1.23,117044,100.0,7604,6.5
la Reina,Metropolitana,28848,41.11,41331,58.89,1464,1.95,75190,100.0,3547,4.72
las Condes,Metropolitana,45713,21.95,162517,78.05,3403,1.54,221392,100.0,9773,4.41
ÑUñoa,Metropolitana,87770,51.11,83961,48.89,3100,1.7,182613,100.0,7782,4.26
Alto Hospicio,Tarapacá,18828,35.15,34743,64.85,755,1.26,59869,100.0,5543,9.26
Camiña,Tarapacá,195,14.76,1126,85.24,8,0.58,1389,100.0,60,4.32
Colchane,Tarapacá,66,6.19,1000,93.81,5,0.46,1098,100.0,27,2.46
Huara,Tarapacá,709,28.13,1811,71.87,30,1.1,2715,100.0,165,6.08
Iquique,Tarapacá,46909,40.21,69754,59.79,1439,1.15,125594,100.0,7492,5.97
Pica,Tarapacá,1646,36.68,2841,63.32,80,1.66,4833,100.0,266,5.5
Pozo Almonte,Tarapacá,3030,33.47,6023,66.53,102,1.03,9947,100.0,792,7.96
Algarrobo,Valparaíso,5689,38.59,9055,61.41,190,1.2,15807,100.0,873,5.52
Cabildo,Valparaíso,7185,47.93,7806,52.07,215,1.32,16236,100.0,1030,6.34
Calera,Valparaíso,17488,48.7,18423,51.3,572,1.45,39404,100.0,2921,7.41
Calle Larga,Valparaíso,4336,41.42,6132,58.58,146,1.28,11363,100.0,749,6.59
Cartagena,Valparaíso,8103,45.27,9797,54.73,187,0.97,19319,100.0,1232,6.38
Casablanca,Valparaíso,8239,39.21,12776,60.79,252,1.11,22697,100.0,1430,6.3
Catemu,Valparaíso,4041,38.82,6368,61.18,158,1.37,11557,100.0,990,8.57
Concon,Valparaíso,14190,36.0,25226,64.0,697,1.65,42144,100.0,2031,4.82
El Quisco,Valparaíso,6915,47.07,7777,52.93,152,0.97,15729,100.0,885,5.63
El Tabo,Valparaíso,6877,49.16,7111,50.84,151,1.01,14949,100.0,810,5.42
Hijuelas,Valparaíso,4887,35.21,8994,64.79,201,1.32,15253,100.0,1171,7.68
Isla de Pascua,Valparaíso,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juan Fernandez,Valparaíso,335,59.29,230,40.71,13,2.18,597,100.0,19,3.18
Limache,Valparaíso,14615,41.02,21012,58.98,507,1.31,38793,100.0,2659,6.85
Llay-llay,Valparaíso,8775,48.56,9295,51.44,209,1.06,19710,100.0,1431,7.26
Nogales,Valparaíso,8042,48.68,8478,51.32,244,1.35,18132,100.0,1368,7.54
Olmue,Valparaíso,5451,37.93,8922,62.07,202,1.29,15659,100.0,1084,6.92
Panquehue,Valparaíso,2272,38.42,3641,61.58,92,1.42,6484,100.0,479,7.39
